Date,Weight
2025-02-13,180.9
2025-02-14,180.8
2025-02-15,179.8
2025-02-16,179.6
2025-02-17,180.0
2025-02-18,180.2
2025-02-19,179.6
2025-02-20,179.7
2025-02-21,180.0
2025-02-23,179.7
2025-02-24,180.8
2025-02-25,181.5
2025-02-26,180.3
2025-02-27,180.9
2025-02-28,180.3
2025-03-01,181.6
2025-03-03,180.3
2025-03-04,180.6
2025-03-06,180.5
2025-03-08,180.5
2025-03-09,180.6
2025-03-10,181.5
2025-03-11,181.6
2025-03-12,182.2
2025-03-23,181.4
2025-03-24,181.4
2025-03-25,183.2
2025-03-26,183.2
2025-03-27,181.9
2025-03-29,181.7
2025-03-30,183.2
2025-03-31,183.0
2025-04-01,182.3
2025-04-03,182.6
2025-04-04,183.2
2025-04-05,183.0
2025-04-06,183.3
2025-04-07,182.7
2025-04-08,182.8
2025-04-09,183.2
2025-04-10,182.4
2025-04-11,183.2
2025-04-12,184.0
2025-04-13,183.4
2025-04-23,183.7
2025-04-24,183.4
2025-04-26,184.9
2025-05-02,184.1
2025-05-05,184.3
2025-05-06,184.5
2025-05-07,185.4
2025-05-08,184.3
2025-05-09,184.4
2025-05-10,185.3
2025-05-11,185.5
2025-05-12,184.7
2025-05-13,185.5
2025-05-14,184.4
2025-05-15,185.3
2025-05-16,183.9
2025-05-17,184.7
2025-05-18,184.9
2025-05-19,183.5
2025-05-20,183.9
2025-05-21,183.7
2025-05-22,184.8
2025-05-23,182.8
2025-05-24,183.7
2025-05-25,184.0
2025-05-29,182.6
2025-06-02,182.1
2025-06-04,183.0
2025-06-07,181.9
2025-06-08,181.2
2025-06-09,182.5
2025-06-11,180.8
2025-06-15,180.6
2025-06-18,179.9
2025-06-19,180.1
2025-06-20,179.1
2025-06-21,180.1
2025-06-22,179.2
2025-06-23,180.2
2025-06-24,179.0
2025-06-25,179.6
2025-06-26,179.4
2025-06-27,179.0
2025-06-28,178.7
2025-07-11,177.9
2025-07-12,177.4
2025-07-13,177.1
2025-07-14,177.1
2025-07-16,177.0
2025-07-19,175.6
2025-07-20,176.5
2025-07-23,176.2
2025-07-24,176.0
2025-07-25,176.2
2025-07-26,176.0
2025-07-28,175.3
2025-07-29,175.3
2025-07-31,175.4
2025-08-01,173.6
2025-08-05,174.5
2025-08-06,173.8
2025-08-08,173.1
2025-08-10,173.5
2025-08-11,172.2
